Customer_ID,Total_Spend,Avg_Transaction_Value,Transaction_Count,Last_Transaction_Date,Unique_Transaction_Types,Recency,Primary_Transaction_Type,Avg_Satisfaction_Score,Avg_Likelihood_to_Recommend,Is_High_Spender,Loyalty_Index,Income_Level_Group,Primary_Transaction_Type_Encoded
1,16792.0,2798.6666666666665,6,2023-07-02 03:00:00,4,26,Bill Payment,10.0,9.0,1,60.0,High,0
2,4907.0,2453.5,2,2023-05-21 23:00:00,2,67,Bill Payment,3.0,3.0,0,6.0,Medium,0
3,1538.0,1538.0,1,2023-02-27 23:00:00,1,150,Bill Payment,10.0,1.0,0,10.0,Low,0
4,8295.0,4147.5,2,2023-06-30 01:00:00,2,28,Loan Payment,7.0,4.0,0,14.0,High,2
5,14798.0,2959.6,5,2023-07-27 00:00:00,3,1,Bill Payment,8.0,7.0,0,40.0,High,0
6,8694.0,2898.0,3,2023-04-21 04:00:00,2,98,Loan Payment,3.0,1.0,0,9.0,High,2
7,3572.0,1786.0,2,2023-07-18 03:00:00,1,10,Loan Payment,3.0,2.0,0,6.0,Low,2
8,12252.0,2042.0,6,2023-04-25 06:00:00,3,94,Loan Payment,7.0,5.0,0,42.0,Low,2
9,17320.0,2165.0,8,2023-06-04 22:00:00,4,53,Investment,10.0,9.0,1,80.0,Low,1
10,15682.0,2613.6666666666665,6,2023-07-22 17:00:00,3,5,Bill Payment,7.0,1.0,0,42.0,Medium,0
11,4949.0,4949.0,1,2023-04-05 22:00:00,1,113,Bill Payment,9.0,4.0,0,9.0,High,0
12,15394.0,3078.8,5,2023-07-03 21:00:00,2,24,Bill Payment,6.0,3.0,0,30.0,High,0
13,18490.0,2054.4444444444443,9,2023-06-18 23:00:00,3,39,Bill Payment,7.0,5.0,1,63.0,Low,0
14,19347.0,2763.8571428571427,7,2023-06-26 14:00:00,3,31,Bill Payment,10.0,5.0,1,70.0,High,0
15,24941.0,3117.625,8,2023-06-30 06:00:00,3,28,Bill Payment,1.0,10.0,1,8.0,High,0
